dataset,factor,cost_change_pct,roi_storage_sens,name,Province,cost_change_label
counties,0.7,-30,0.03002098398892807,华池县,甘肃省,-30%
counties,0.7,-30,0.025867467732587763,宁县,甘肃省,-30%
counties,0.7,-30,0.026029429446789577,正宁县,甘肃省,-30%
counties,0.7,-30,0.02724084013930656,镇原县,甘肃省,-30%
counties,0.7,-30,0.037574731548194316,扎赉特旗,内蒙古自治区,-30%
counties,0.7,-30,0.03850817994777851,科尔沁右翼中旗,内蒙古自治区,-30%
counties,0.7,-30,0.038601239650555765,科尔沁右翼前旗,内蒙古自治区,-30%
counties,0.7,-30,0.039485781137023744,魏县,河北省,-30%
counties,0.7,-30,0.038470520400430565,突泉县,内蒙古自治区,-30%
counties,0.7,-30,0.042157031741280035,武定县,云南省,-30%
counties,0.7,-30,0.04634327728626673,永仁县,云南省,-30%
counties,0.7,-30,0.044695025017227795,大姚县,云南省,-30%
counties,0.7,-30,0.04538655463183487,姚安县,云南省,-30%
counties,0.7,-30,0.04317156309112849,南华县,云南省,-30%
counties,0.7,-30,0.04563999479120596,牟定县,云南省,-30%
counties,0.7,-30,0.039023960059393806,双柏县,云南省,-30%
counties,0.7,-30,0.0369213798056243,阿尔山市,内蒙古自治区,-30%
counties,0.7,-30,0.05009541673015132,广灵县,山西省,-30%
counties,0.7,-30,0.0471137358826201,灵丘县,山西省,-30%
counties,0.7,-30,0.048774121491375874,浑源县,山西省,-30%
counties,0.7,-30,0.051781129084868274,阳高县,山西省,-30%
counties,0.7,-30,0.05249911695127394,天镇县,山西省,-30%
counties,0.7,-30,0.04028455479096088,大名县,河北省,-30%
counties,0.7,-30,0.06000881625346116,平泉市,河北省,-30%
counties,0.7,-30,0.0681565166411006,大安市,吉林省,-30%
counties,0.7,-30,0.0645727147972114,围场满族蒙古族自治县,河北省,-30%
counties,0.7,-30,0.06077204755847475,丰宁满族自治县,河北省,-30%
counties,0.7,-30,0.036122256678780974,喀喇沁旗,内蒙古自治区,-30%
counties,0.7,-30,0.03591488087469318,宁城县,内蒙古自治区,-30%
counties,0.7,-30,0.03744523046306081,敖汉旗,内蒙古自治区,-30%
counties,0.7,-30,0.03867177115433489,翁牛特旗,内蒙古自治区,-30%
counties,0.7,-30,0.03785616609118503,林西县,内蒙古自治区,-30%
counties,0.7,-30,0.038055729977381034,巴林左旗,内蒙古自治区,-30%
counties,0.7,-30,0.03871351167036116,巴林右旗,内蒙古自治区,-30%
counties,0.7,-30,0.03859361128797995,阿鲁科尔沁旗,内蒙古自治区,-30%
counties,0.7,-30,0.05424929761434677,右玉县,山西省,-30%
counties,0.7,-30,0.05718027385047416,承德县,河北省,-30%
counties,0.7,-30,0.055464084856683527,滦平县,河北省,-30%
counties,0.7,-30,0.06012235257486026,隆化县,河北省,-30%
counties,0.7,-30,0.0640441937821851,拜泉县,黑龙江省,-30%
counties,0.7,-30,0.06290899705233027,克东县,黑龙江省,-30%
counties,0.7,-30,0.0668700238352036,富裕县,黑龙江省,-30%
counties,0.7,-30,0.06711065042515192,甘南县,黑龙江省,-30%
counties,0.7,-30,0.06752569169430947,泰来县,黑龙江省,-30%
counties,0.7,-30,0.0675868331193147,龙江县,黑龙江省,-30%
counties,0.7,-30,0.05644091991396227,黑水县,四川省,-30%
counties,0.7,-30,0.05876712747109011,小金县,四川省,-30%
counties,0.7,-30,0.06202875896275896,金川县,四川省,-30%
counties,0.7,-30,0.06548826157400903,大同区,黑龙江省,-30%
counties,0.7,-30,0.06795653459845874,阿坝县,四川省,-30%
counties,0.7,-30,0.06570766024755238,壤塘县,四川省,-30%
counties,0.7,-30,0.06934927529249794,红原县,四川省,-30%
counties,0.7,-30,0.07028643904681078,若尔盖县,四川省,-30%
counties,0.7,-30,0.041008218960462105,临泉县,安徽省,-30%
counties,0.7,-30,0.0408683873939158,阜南县,安徽省,-30%
counties,0.7,-30,0.04151542476636245,颍上县,安徽省,-30%
counties,0.7,-30,0.02577190759438706,武山县,甘肃省,-30%
counties,0.7,-30,0.04120948889802274,四子王旗,内蒙古自治区,-30%
counties,0.7,-30,0.039846042961004816,察哈尔右翼后旗,内蒙古自治区,-30%
counties,0.7,-30,0.0404517343362917,察哈尔右翼中旗,内蒙古自治区,-30%
counties,0.7,-30,0.038418263173451,察哈尔右翼前旗,内蒙古自治区,-30%
counties,0.7,-30,0.03757632074932234,兴和县,内蒙古自治区,-30%
counties,0.7,-30,0.039987314107179206,商都县,内蒙古自治区,-30%
counties,0.7,-30,0.061976849890040944,马尔康市,四川省,-30%
counties,0.7,-30,0.039731680685935127,化德县,内蒙古自治区,-30%
counties,0.7,-30,0.03832798227782215,卓资县,内蒙古自治区,-30%
counties,0.7,-30,0.06613479389766067,林甸县,黑龙江省,-30%
counties,0.7,-30,0.06882869524241189,镇赉县,吉林省,-30%
counties,0.7,-30,0.06923498345437734,通榆县,吉林省,-30%
counties,0.7,-30,0.024765171975075786,阿图什市,新疆维吾尔自治区,-30%
counties,0.7,-30,0.026418642746891884,青河县,新疆维吾尔自治区,-30%
counties,0.7,-30,0.018413787606855046,吉木乃县,新疆维吾尔自治区,-30%
counties,0.7,-30,0.0367365846406638,勐腊县,云南省,-30%
counties,0.7,-30,0.040970247373506345,勐海县,云南省,-30%
counties,0.7,-30,0.016194970359510487,贵德县,青海省,-30%
counties,0.7,-30,0.01637983305866904,同德县,青海省,-30%
counties,0.7,-30,0.020295741968340837,共和县,青海省,-30%
counties,0.7,-30,0.017586973424483402,贵南县,青海省,-30%
counties,0.7,-30,0.016580779082274236,兴海县,青海省,-30%
counties,0.7,-30,0.04243097163287644,利辛县,安徽省,-30%
counties,0.7,-30,0.03480603244016106,永登县,甘肃省,-30%
counties,0.7,-30,0.03430199802221097,皋兰县,甘肃省,-30%
counties,0.7,-30,0.03171201116128378,榆中县,甘肃省,-30%
counties,0.7,-30,0.04159149303408567,颍东区,安徽省,-30%
counties,0.7,-30,0.011811431639345404,巴宜区,西藏自治区,-30%
counties,0.7,-30,0.04316380740274807,石楼县,山西省,-30%
counties,0.7,-30,0.02722909864470759,乌恰县,新疆维吾尔自治区,-30%
counties,0.7,-30,0.04650057721377562,方山县,山西省,-30%
counties,0.7,-30,0.05011578438614095,岚县,山西省,-30%
counties,0.7,-30,0.04443437641120833,中阳县,山西省,-30%
counties,0.7,-30,0.04667863294295318,临县,山西省,-30%
counties,0.7,-30,0.04770809123834541,兴县,山西省,-30%
counties,0.7,-30,0.008449300765872627,察隅县,西藏自治区,-30%
counties,0.7,-30,0.03235179264753946,城关区,甘肃省,-30%
counties,0.7,-30,0.021639281895602457,朗县,西藏自治区,-30%
counties,0.7,-30,0.018761651116663686,工布江达县,西藏自治区,-30%
counties,0.7,-30,0.013377295499641262,米林市,西藏自治区,-30%
counties,0.7,-30,0.0024779908353896453,墨脱县,西藏自治区,-30%
counties,0.7,-30,0.009580218910168511,波密县,西藏自治区,-30%
counties,0.7,-30,0.02722909864470759,阿克陶县,新疆维吾尔自治区,-30%
counties,0.7,-30,0.02305200372013582,阿合奇县,新疆维吾尔自治区,-30%
counties,0.7,-30,0.03447571148710285,巧家县,云南省,-30%
counties,0.7,-30,0.06155890396160122,海伦市,黑龙江省,-30%
counties,0.7,-30,0.01932921171290674,尼勒克县,新疆维吾尔自治区,-30%
counties,0.7,-30,0.026097268372358418,通渭县,甘肃省,-30%
counties,0.7,-30,0.02991444074260225,渭源县,甘肃省,-30%
counties,0.7,-30,0.02905096273096604,陇西县,甘肃省,-30%
counties,0.7,-30,0.028664058724237163,漳县,甘肃省,-30%
counties,0.7,-30,0.03153214286841735,临洮县,甘肃省,-30%
counties,0.7,-30,0.028669883324749096,岷县,甘肃省,-30%
counties,0.7,-30,0.017747771328789498,察布查尔锡伯自治县,新疆维吾尔自治区,-30%
counties,0.7,-30,0.04214308333609282,巨鹿县,河北省,-30%
counties,0.7,-30,0.04156381561767067,平乡县,河北省,-30%
counties,0.7,-30,0.042627310407425754,威县,河北省,-30%
counties,0.7,-30,0.04285683925639529,新河县,河北省,-30%
counties,0.7,-30,0.04233159687457385,广宗县,河北省,-30%
counties,0.7,-30,0.040695235482466736,武川县,内蒙古自治区,-30%
counties,0.7,-30,0.043162273601368574,临城县,河北省,-30%
counties,0.7,-30,0.030752078733593414,巴里坤哈萨克自治县,新疆维吾尔自治区,-30%
counties,0.7,-30,0.06183579653202046,望奎县,黑龙江省,-30%
counties,0.7,-30,0.06173711086319257,兰西县,黑龙江省,-30%
counties,0.7,-30,0.06337858294357034,青冈县,黑龙江省,-30%
counties,0.7,-30,0.06425329696913332,明水县,黑龙江省,-30%
