dataset,Province,factor,cost_change_pct,cost_change_label,n,mean_roi,median_roi,roi_gt_003_ratio,roi_gt_003_count,baseline_mean_roi,delta_mean_roi_vs_base
poverty,云南省,1.0,0,0%,89,0.03196033501403332,0.03554251312136923,0.6853932584269663,61,0.03196033501403332,0.0
poverty,云南省,1.1,10,10%,89,0.030865325905470097,0.03436490640614721,0.651685393258427,58,0.03196033501403332,-0.0010950091085632253
poverty,云南省,1.2,20,20%,89,0.029799471773701545,0.033219282063143965,0.6179775280898876,55,0.03196033501403332,-0.0021608632403317778
poverty,云南省,1.3,30,30%,89,0.02876161456393565,0.03210435464422209,0.5955056179775281,53,0.03196033501403332,-0.003198720450097673
poverty,内蒙古自治区,0.7,-30,-30%,31,0.03820154972838288,0.038418263173451,1.0,31,0.03213039658201719,0.006071153146365693
poverty,内蒙古自治区,0.8,-20,-20%,31,0.03608047024573342,0.0362875344156688,1.0,31,0.03213039658201719,0.003950073663716233
poverty,内蒙古自治区,0.9,-10,-10%,31,0.03405904023847813,0.034257082976107626,1.0,31,0.03213039658201719,0.0019286436564609419
poverty,内蒙古自治区,1.0,0,0%,31,0.03213039658201719,0.032319992656786985,0.9354838709677419,29,0.03213039658201719,0.0
poverty,内蒙古自治区,1.1,10,10%,31,0.030288292413375113,0.030469968986214034,0.6451612903225806,20,0.03213039658201719,-0.0018421041686420767
poverty,内蒙古自治区,1.2,20,20%,31,0.028527029462679994,0.028701270892872027,0.12903225806451613,4,0.03213039658201719,-0.003603367119337196
poverty,内蒙古自治区,1.3,30,30%,31,0.026841399111535002,0.027008651195653967,0.0,0,0.03213039658201719,-0.005288997470482188
poverty,吉林省,0.7,-30,-30%,8,0.06019409423565451,0.055700581989912366,1.0,8,0.055147226919175334,0.00504686731647918
poverty,吉林省,0.8,-20,-20%,8,0.058458631678723026,0.054108355371981894,1.0,8,0.055147226919175334,0.0033114047595476925
poverty,吉林省,0.9,-10,-10%,8,0.05677717275642133,0.05256338608909136,1.0,8,0.055147226919175334,0.0016299458372459955
poverty,吉林省,1.0,0,0%,8,0.055147226919175334,0.051063601007437905,1.0,8,0.055147226919175334,0.0
poverty,吉林省,1.1,10,10%,8,0.05356645494606647,0.04960704650742932,1.0,8,0.055147226919175334,-0.001580771973108866
poverty,吉林省,1.2,20,20%,8,0.0520326575867551,0.048191879993690706,1.0,8,0.055147226919175334,-0.0031145693324202348
poverty,吉林省,1.3,30,30%,8,0.0505437652143824,0.04681636211866211,1.0,8,0.055147226919175334,-0.0046034617047929355
poverty,四川省,0.7,-30,-30%,66,0.045091359885386144,0.04820810341596715,0.6060606060606061,40,0.041366841200336804,0.0037245186850493398
poverty,四川省,0.8,-20,-20%,66,0.043815233446785395,0.04690824427047366,0.6060606060606061,40,0.041366841200336804,0.0024483922464485913
poverty,四川省,0.9,-10,-10%,66,0.04257421826850808,0.04564234580040226,0.5909090909090909,39,0.041366841200336804,0.0012073770681712767
poverty,四川省,1.0,0,0%,66,0.041366841200336804,0.04440909422671302,0.5909090909090909,39,0.041366841200336804,0.0
poverty,四川省,1.1,10,10%,66,0.04019171225383079,0.043207242674597836,0.5909090909090909,39,0.041366841200336804,-0.001175128946506017
poverty,四川省,1.2,20,20%,66,0.03904751871582676,0.04203560696804125,0.5909090909090909,39,0.041366841200336804,-0.002319322484510042
poverty,四川省,1.3,30,30%,66,0.03793301976124675,0.040893061737663085,0.5909090909090909,39,0.041366841200336804,-0.0034338214390900526
poverty,宁夏回族自治区,0.7,-30,-30%,8,0.0193548330582494,0.018584807043646737,0.0,0,0.015057784448784592,0.004297048609464808
poverty,宁夏回族自治区,0.8,-20,-20%,8,0.017860627801138028,0.017126372148720086,0.0,0,0.015057784448784592,0.0028028433523534357
poverty,宁夏回族自治区,0.9,-10,-10%,8,0.016429588571786675,0.0157286819159783,0.0,0,0.015057784448784592,0.0013718041230020833
poverty,宁夏回族自治区,1.0,0,0%,8,0.015057784448784592,0.01438801811404166,0.0,0,0.015057784448784592,0.0
poverty,宁夏回族自治区,1.1,10,10%,8,0.013741604709568834,0.0131009599492833,0.0,0,0.015057784448784592,-0.0013161797392157587
poverty,宁夏回族自治区,1.2,20,20%,8,0.012477726815343882,0.01186435490309431,0.0,0,0.015057784448784592,-0.00258005763344071
poverty,宁夏回族自治区,1.3,30,30%,8,0.011263088169013072,0.01067529293478712,0.0,0,0.015057784448784592,-0.0037946962797715204
poverty,安徽省,0.7,-30,-30%,20,0.04122261253850061,0.040905851318055096,1.0,20,0.03947613128972272,0.0017464812487778883
poverty,安徽省,0.8,-20,-20%,20,0.040632920205014286,0.04032065344493858,1.0,20,0.03947613128972272,0.0011567889152915636
poverty,安徽省,0.9,-10,-10%,20,0.040050808233925886,0.03974294169446274,1.0,20,0.03947613128972272,0.0005746769442031632
poverty,安徽省,1.0,0,0%,20,0.03947613128972272,0.03917257333064658,1.0,20,0.03947613128972272,0.0
poverty,安徽省,1.1,10,10%,20,0.03890874773119518,0.038609409223273446,1.0,20,0.03947613128972272,-0.0005673835585275414
poverty,安徽省,1.2,20,20%,20,0.03834851949471343,0.03805331373474552,1.0,20,0.03947613128972272,-0.001127611795009295
poverty,安徽省,1.3,30,30%,20,0.03779531198190493,0.0375041546111723,1.0,20,0.03947613128972272,-0.0016808193078177922
poverty,山西省,0.7,-30,-30%,35,0.04627672021324847,0.047252039828046086,1.0,35,0.04188573614387601,0.00439098406937246
poverty,山西省,0.8,-20,-20%,35,0.04476705025706313,0.045715722083170235,1.0,35,0.04188573614387601,0.0028813141131871223
poverty,山西省,0.9,-10,-10%,35,0.043304102405531175,0.04422718875887208,0.9714285714285714,34,0.04188573614387601,0.001418366261655167
poverty,山西省,1.0,0,0%,35,0.04188573614387601,0.042784244620937356,0.9714285714285714,34,0.04188573614387601,0.0
poverty,山西省,1.1,10,10%,35,0.04050994000084326,0.04138482687357316,0.9714285714285714,34,0.04188573614387601,-0.0013757961430327509
poverty,山西省,1.2,20,20%,35,0.03917482195091599,0.04002699532029814,0.9714285714285714,34,0.04188573614387601,-0.002710914192960018
poverty,山西省,1.3,30,30%,35,0.03787860066204431,0.03870892338915046,0.9714285714285714,34,0.04188573614387601,-0.0040071354818317015
poverty,广东省,0.7,-30,-30%,1,0.04169238112987085,0.04169238112987085,1.0,1,0.03873973393567919,0.0029526471941916585
poverty,广东省,0.8,-20,-20%,1,0.04068657293381901,0.04068657293381901,1.0,1,0.03873973393567919,0.0019468389981398201
poverty,广东省,0.9,-10,-10%,1,0.039702591488313246,0.039702591488313246,1.0,1,0.03873973393567919,0.0009628575526340541
poverty,广东省,1.0,0,0%,1,0.03873973393567919,0.03873973393567919,1.0,1,0.03873973393567919,0.0
poverty,广东省,1.1,10,10%,1,0.03779732727534141,0.03779732727534141,1.0,1,0.03873973393567919,-0.0009424066603377843
poverty,广东省,1.2,20,20%,1,0.036874726795086896,0.036874726795086896,1.0,1,0.03873973393567919,-0.0018650071405922966
poverty,广东省,1.3,30,30%,1,0.035971314600208595,0.035971314600208595,1.0,1,0.03873973393567919,-0.002768419335470597
poverty,广西壮族自治区,0.7,-30,-30%,32,0.033684596888669725,0.034337849009041965,0.78125,25,0.031030180847433895,0.0026544160412358304
poverty,广西壮族自治区,0.8,-20,-20%,32,0.03278064230170511,0.0334214907427027,0.75,24,0.031030180847433895,0.0017504614542712162
poverty,广西壮族自治区,0.9,-10,-10%,32,0.031896042313304736,0.03252483151300335,0.6875,22,0.031030180847433895,0.0008658614658708409
poverty,广西壮族自治区,1.0,0,0%,32,0.031030180847433895,0.03164724286664151,0.59375,19,0.031030180847433895,0.0
poverty,广西壮族自治区,1.1,10,10%,32,0.03018246774351559,0.030788122801550247,0.5625,18,0.031030180847433895,-0.0008477131039183045
poverty,广西壮族自治区,1.2,20,20%,32,0.029352337405779524,0.029946894389742098,0.5,16,0.031030180847433895,-0.001677843441654371
poverty,广西壮族自治区,1.3,30,30%,32,0.028539247536339327,0.02912300448530634,0.40625,13,0.031030180847433895,-0.0024909333110945675
poverty,新疆维吾尔自治区,0.7,-30,-30%,32,0.022033213059580486,0.020696525351224373,0.0625,2,0.019555025974490638,0.002478187085089848
poverty,新疆维吾尔自治区,0.8,-20,-20%,32,0.021187698781327015,0.019884374198454256,0.03125,1,0.019555025974490638,0.0016326728068363772
poverty,新疆维吾尔自治区,0.9,-10,-10%,32,0.02036186350053829,0.019090670876368197,0.03125,1,0.019555025974490638,0.0008068375260476511
poverty,新疆维吾尔自治区,1.0,0,0%,32,0.019555025974490638,0.01831479388564029,0.0,0,0.019555025974490638,0.0
poverty,新疆维吾尔自治区,1.1,10,10%,32,0.018766536143721153,0.017556149334323673,0.0,0,0.019555025974490638,-0.0007884898307694843
poverty,新疆维吾尔自治区,1.2,20,20%,32,0.017995773362391367,0.01681416942176511,0.0,0,0.019555025974490638,-0.0015592526120992711
poverty,新疆维吾尔自治区,1.3,30,30%,32,0.017242144748188838,0.016088311021342876,0.0,0,0.019555025974490638,-0.0023128812263017995
poverty,江西省,0.7,-30,-30%,24,0.043065533507461014,0.04382340476557859,1.0,24,0.04137716883595669,0.0016883646715043221
poverty,江西省,0.8,-20,-20%,24,0.042495850207331126,0.04324487146953607,1.0,24,0.04137716883595669,0.0011186813713744345
poverty,江西省,0.9,-10,-10%,24,0.04193310399473283,0.04267342914622541,1.0,24,0.04137716883595669,0.0005559351587761385
