county_id,county_name,j,k,direct_h2_revenue,sensitivity_h2_revenue,h2_revenue_diff,h2_revenue_diff_pct,direct_pv_revenue,sensitivity_pv_revenue,pv_revenue_diff,pv_revenue_diff_pct,direct_other_revenue,sensitivity_other_revenue,other_revenue_diff,other_revenue_diff_pct,direct_total_revenue,sensitivity_total_revenue,total_revenue_diff,total_revenue_diff_pct
5,隆安县,3,2,23002244.60724461,23002244.60724461,0.0,0.0,0,69674719.0051282,69674719.0051282,inf,121911.89641839643,121911.89641839643,0.0,0.0,23124156.503663007,92798875.50879121,69674719.0051282,301.3070725156669
6,上林县,0,0,8642430.561797753,8642430.561797753,0.0,0.0,0,68172572.5752809,68172572.5752809,inf,119283.54681647941,119283.54681647941,0.0,0.0,8761714.108614232,76934286.68389514,68172572.5752809,778.0734651939379
6,上林县,0,1,8642430.561797753,8642430.561797753,0.0,0.0,0,68172572.5752809,68172572.5752809,inf,119283.54681647941,119283.54681647941,0.0,0.0,8761714.108614232,76934286.68389514,68172572.5752809,778.0734651939379
6,上林县,0,2,8642430.561797753,8642430.561797753,0.0,0.0,0,68172572.5752809,68172572.5752809,inf,119283.54681647941,119283.54681647941,0.0,0.0,8761714.108614232,76934286.68389514,68172572.5752809,778.0734651939379
6,上林县,1,0,12119568.457827717,12119568.457827717,0.0,0.0,0,68172572.5752809,68172572.5752809,inf,119283.54681647941,119283.54681647941,0.0,0.0,12238852.004644196,80411424.5799251,68172572.5752809,557.0177051688501
6,上林县,1,1,12119568.457827717,12119568.457827717,0.0,0.0,0,68172572.5752809,68172572.5752809,inf,119283.54681647941,119283.54681647941,0.0,0.0,12238852.004644196,80411424.5799251,68172572.5752809,557.0177051688501
6,上林县,1,2,12119568.457827717,12119568.457827717,0.0,0.0,0,68172572.5752809,68172572.5752809,inf,119283.54681647941,119283.54681647941,0.0,0.0,12238852.004644196,80411424.5799251,68172572.5752809,557.0177051688501
6,上林县,3,0,22506329.588014983,22506329.588014983,0.0,0.0,0,68172572.5752809,68172572.5752809,inf,119283.54681647941,119283.54681647941,0.0,0.0,22625613.134831462,90798185.71011238,68172572.57528092,301.307072515667
6,上林县,3,1,22506329.588014983,22506329.588014983,0.0,0.0,0,68172572.5752809,68172572.5752809,inf,119283.54681647941,119283.54681647941,0.0,0.0,22625613.134831462,90798185.71011238,68172572.57528092,301.307072515667
6,上林县,3,2,22506329.588014983,22506329.588014983,0.0,0.0,0,68172572.5752809,68172572.5752809,inf,119283.54681647941,119283.54681647941,0.0,0.0,22625613.134831462,90798185.71011238,68172572.57528092,301.307072515667
7,马山县,0,0,8457293.661553098,8457293.661553098,0.0,0.0,0,66712189.56403854,66712189.56403854,inf,116728.27189122768,116728.27189122768,0.0,0.0,8574021.933444325,75286211.49748285,66712189.56403853,778.0734651939379
7,马山县,0,1,8457293.661553098,8457293.661553098,0.0,0.0,0,66712189.56403854,66712189.56403854,inf,116728.27189122768,116728.27189122768,0.0,0.0,8574021.933444325,75286211.49748285,66712189.56403853,778.0734651939379
7,马山县,0,2,8457293.661553098,8457293.661553098,0.0,0.0,0,66712189.56403854,66712189.56403854,inf,116728.27189122768,116728.27189122768,0.0,0.0,8574021.933444325,75286211.49748285,66712189.56403853,778.0734651939379
7,马山县,1,0,11859944.81138463,11859944.81138463,0.0,0.0,0,66712189.56403854,66712189.56403854,inf,116728.27189122768,116728.27189122768,0.0,0.0,11976673.083275856,78688862.64731438,66712189.56403853,557.01770516885
7,马山县,1,1,11859944.81138463,11859944.81138463,0.0,0.0,0,66712189.56403854,66712189.56403854,inf,116728.27189122768,116728.27189122768,0.0,0.0,11976673.083275856,78688862.64731438,66712189.56403853,557.01770516885
7,马山县,1,2,11859944.81138463,11859944.81138463,0.0,0.0,0,66712189.56403854,66712189.56403854,inf,116728.27189122768,116728.27189122768,0.0,0.0,11976673.083275856,78688862.64731438,66712189.56403853,557.01770516885
