County_storage,LCOE_storage,NPV_storage,IRR_storage,ROI_storage,poverty_storage,mean_value_day_count
抚远市,0.28439804217898446,1866.2579087842244,0.08639240687021738,0.053271573535116946,,
同江市,0.28439804217898446,1866.2579087842244,0.08639240687021738,0.053271573535116946,,
喜德县,0.31435190472256225,1581.8031992469846,0.0793736034116778,0.05046578446001976,,
昭觉县,0.3254401204906805,1290.8149179282016,0.07102420234003497,0.04711791657966301,,
囊谦县,0.2909038405404072,-1743.7659808552773,-0.027275733586224066,0.010758321266710088,,
治多县,0.27312010695909095,-1396.99384273842,-0.013208023522189546,0.014561896287734886,,
称多县,0.29042133876867704,-1735.0496433546134,-0.02689752206569858,0.010855594238712797,,
杂多县,0.2839692025992451,-1614.9586856209428,-0.021824420855182724,0.012186937990630208,,
曲麻莱县,0.27596399685706846,-1456.2015375089168,-0.015479163063576747,0.013921975462646907,,
康乐县,0.3122928261207529,-304.9309310208249,0.020767079130585432,0.02669726160206399,,
临夏县,0.3134488187848805,-330.3931550859266,0.019967449945710765,0.026423957673219988,,
广河县,0.3120362301318733,-299.2479840789778,0.020944912123324184,0.026758192260860875,,
永靖县,0.3090936400720089,-233.25578318134816,0.022993247236494783,0.027463917045442553,,
东乡族自治县,0.3142256282800649,-347.3756865634884,0.019431501979247544,0.026241393191815447,,
和政县,0.31491844811803155,-362.43632304901416,0.018954433244728765,0.02607930212785169,,
积石山保安族东乡族撒拉族自治县,0.311462217590876,-286.49385675791706,0.02134317968063875,0.026894847023042522,,
同仁市,0.2966628081487789,-1845.1113820359826,-0.03178026956248556,0.009620862517498455,,
湟源县,0.2896660741023303,-1721.3338357087282,-0.02630521194043065,0.01100848347241724,,
桑珠孜区,0.24335637790488718,11.936533497038397,0.030320380454613917,0.029180862663767494,,
大通回族土族自治县,0.2949640562952149,-1815.7233498594787,-0.030453202130474324,0.00995193141024903,,
墨玉县,0.29148734055110814,-1127.2168927413397,-0.013286974138307536,0.01780836145236031,,
皮山县,0.28184652791963116,-942.7248346651945,-0.0053085166749598026,0.020083580393051362,,
洛浦县,0.29480143280669463,-1187.5621271991952,-0.01599907544865536,0.017059982949683538,,
策勒县,0.2872619015752803,-1048.0430272403617,-0.009807610090602981,0.018787112373387267,,
湟中区,0.29816761120136986,-1870.8008332230097,-0.0329548838306121,0.009330631457528287,,
于田县,0.28207804029410666,-947.3190133267797,-0.0055018546208419235,0.020027155986513116,,
民丰县,0.2652281443952366,-589.5598367319054,0.008848095296869127,0.024385931877250792,,
阜城县,0.3186662963017989,792.3863046303667,0.05559284092652354,0.04098180659327629,,
谢通门县,0.24971922449371145,-184.5082960881244,0.024938557762106742,0.027248139156107194,,
白朗县,0.2453182413709203,-50.03596965997369,0.02864788787950137,0.028574710278624883,,
仁布县,0.25338304280426405,-291.8998639944185,0.02189311398002049,0.02617746214842684,,
定日县,0.24683340694175007,-97.02929277923968,0.027364324852452056,0.028112887240961903,,
萨迦县,0.24371586617378183,0.4842589492755849,0.030013013861986664,0.029069093569105992,,
拉孜县,0.24347902644613073,8.024383373020044,0.030215468620409427,0.029142694306511778,,
昂仁县,0.24232401438272053,45.06938741107942,0.031205348424633926,0.029503600361978986,,
饶阳县,0.31902822506480755,783.6848470022908,0.055328145194374186,0.04088090070193799,,
南木林县,0.2545724834797189,-325.91512925548193,0.020912343610764158,0.025836225227111147,,
武强县,0.31929846706094084,777.2022548443214,0.05513074083451788,0.040805702954184106,,
江孜县,0.24733419399555334,-112.39834848549208,0.026941610146834143,0.0279614385063999,,
武邑县,0.3204984839373624,748.565328715025,0.05425658661610024,0.04047328300852764,,
和田县,0.24751845892755914,-154.44972445815554,0.024708166535258157,0.029592913945334105,,
白水县,0.3166166121832801,149.29217561169392,0.034974866037240024,0.03317758933807603,,
合阳县,0.3172982407106727,134.36637314303624,0.03448352197595782,0.0330029261437678,,
澄城县,0.3153886130145987,176.3663429563775,0.035862817756929,0.03349411884101765,,
文山市,0.3309624569818566,-124.82752273671876,0.0257285055569701,0.029959597449697402,,
双湖县,0.2563617794170551,-376.3269971192936,0.01944400825384288,0.025328616713813746,,
河南蒙古族自治县,0.2910972380406643,-1747.249671650781,-0.02742728955659075,0.010719419329257969,,
泽库县,0.2841271950334166,-1617.9802004454532,-0.02194903285002195,0.012153642221902215,,
尖扎县,0.29341604374760455,-1788.578002607157,-0.02924276283537645,0.01025684095125511,,
望江县,0.3466954317236805,429.6139630584329,0.04592859896250684,0.038375903390005725,,
岳西县,0.34342510570848833,494.23162042978583,0.04824020740841444,0.039208622245069144,,
宜君县,0.31478539985362963,189.7532320086973,0.03630030924587447,0.0336504872715153,,
娄烦县,0.27669086363539636,1111.6171838351943,0.06425304289522939,0.04416211928835296,,
太湖县,0.3481018688114336,402.21868704738233,0.04494248609066506,0.038022545533986755,,
青龙满族自治县,0.291953571247779,1502.7665621982505,0.07624436225995031,0.0491031210765354,,
宿松县,0.348627018262923,392.04940238139795,0.04457549344770857,0.03789132871023589,,
石台县,0.3614722549584351,153.00167024589774,0.03579277843166627,0.034799275671255646,,
丘北县,0.3342902455802553,-190.46775032378696,0.023440064806221433,0.029180638331869308,,
潜山市,0.3456154684805114,450.80987371380206,0.04668905279952091,0.03864916848276805,,
吉隆县,0.25434935442063467,-319.5651206728288,0.021096039403513563,0.025900005249732662,,
聂拉木县,0.24325723546831884,15.102634271592478,0.03040522034476373,0.0292117428141827,,
萨嘎县,0.23765888543981173,199.46930863948,0.03524803092234701,0.03099543613828798,,
岗巴县,0.23509470669952315,287.7462201237564,0.03750181671650061,0.031839512814824035,,
康马县,0.2455352307674594,-56.811874863969564,0.028463637470025567,0.028508237084618755,,
定结县,0.24665951657742718,-91.6738216966298,0.02751128168689165,0.028165613136899574,,
仲巴县,0.2368323684378971,227.65149663482373,0.03597197057338457,0.031265601155897944,,
亚东县,0.2690404123599917,-709.3634161317254,0.00926268004603279,0.021917646633419254,,
正镶白旗,0.2749688648934594,307.75751239434834,0.03859348473358359,0.03290606555199177,,
阳原县,0.27223339305298433,2130.6338956957857,0.09319202191579819,0.05609440421811803,,
怀安县,0.27176321698541456,2146.8902744544816,0.09361728973299496,0.05627315288385032,,
芒市,0.299071063432303,588.7089600663265,0.048917765204416264,0.03828278030773431,,
赤城县,0.2750348919736177,2035.1022002274422,0.09068000749548942,0.055041689051177546,,
太仆寺旗,0.27550901051569554,292.30833270288974,0.03817444015771522,0.03274974229902759,,
苏尼特右旗,0.2707795711256342,430.20842226757804,0.04187176116567259,0.03413883938079744,,
白沙黎族自治县,0.3378934742871504,1535.9568916770725,0.07876143127592108,0.0502876988231266,,
万全区,0.26736640020482105,2302.1200001282186,0.09764695745370398,0.05797432667840988,,
宣化区,0.27377492456681185,2077.7878246209066,0.09180517725187662,0.05551254858282897,,
崇礼区,0.27005378572586936,2206.5463689900735,0.09517253747568735,0.05692814107365159,,
陇川县,0.29398046361530467,718.9858536801493,0.05286898832054556,0.03977443038837367,,
盈江县,0.30195579801232075,517.1045792281277,0.04671293969167153,0.037459292524496805,,
梁河县,0.2967863742773511,646.5468430315855,0.050681347648146274,0.03894606380803404,,
乌什县,0.2801017111099222,-907.8293046017394,-0.0038483611066652073,0.020511771620169254,,
柯坪县,0.28953557450815626,-1090.9632886264246,-0.011682977546465087,0.01825697050996127,,
