name,ROI_优化模型,ROI_直接计算,j,k,差异,相对差异(%)
万州区,0.0214745543375814,0.02147455433758142,2,1,-2.0816681711721685e-17,-9.693650161247617e-14
兴仁市,0.0175070470275285,0.017507047027528512,2,1,-1.0408340855860843e-17,-5.94522927795562e-14
龙州县,0.0283964086952636,0.02839640869526361,2,1,-6.938893903907228e-18,-2.4435815029893566e-14
宁明县,0.0306609324864587,0.030660932486458726,2,1,-2.42861286636753e-17,-7.920870858836785e-14
原州区,0.0145038936443467,0.014503893644346722,2,1,-2.2551405187698492e-17,-1.5548518032941106e-13
天等县,0.0274552673454229,0.027455267345422908,2,1,-6.938893903907228e-18,-2.527345232740565e-14
大新县,0.0275609412074183,0.02756094120741833,2,1,-3.122502256758253e-17,-1.1329447108714115e-13
台前县,0.0223105310234986,0.02231053102349865,2,1,-4.85722573273506e-17,-2.177100010582074e-13
范县,0.0217860384412272,0.02178603844122722,2,1,-1.734723475976807e-17,-7.962546658754033e-14
平陆县,0.024316195322046,0.024316195322046097,2,1,-9.71445146547012e-17,-3.995054052170154e-13
普安县,0.0168333790696355,0.01683337906963551,2,1,-1.0408340855860843e-17,-6.183155985975317e-14
晴隆县,0.0150238556024279,0.015023855602427994,2,1,-9.367506770274758e-17,-6.235088394194153e-13
贞丰县,0.0163615404817556,0.01636154048175561,2,1,-6.938893903907228e-18,-4.2409783550910966e-14
望谟县,0.0150563175987083,0.015056317598708346,2,1,-4.683753385137379e-17,-3.1108226526379795e-13
册亨县,0.0168756002759212,0.016875600275921256,2,1,-5.551115123125783e-17,-3.289432691201109e-13
安龙县,0.0181306272573701,0.01813062725737017,2,1,-6.938893903907228e-17,-3.8271670391803687e-13
洞口县,0.0239296275793748,0.023929627579374845,2,1,-4.5102810375396984e-17,-1.8848103768347606e-13
隆回县,0.0252908416970413,0.025290841697041398,2,1,-9.71445146547012e-17,-3.841094567685561e-13
绥宁县,0.0233256253538223,0.023325625353822342,2,1,-4.163336342344337e-17,-1.784876623538025e-13
城步苗族自治县,0.0230808652851401,0.023080865285140185,2,1,-8.326672684688674e-17,-3.607608545789448e-13
新宁县,0.0244463628538629,0.024446362853862903,2,1,-3.469446951953614e-18,-1.419207827640253e-14
邵阳县,0.0257586694064198,0.0257586694064198,2,1,0.0,0.0
新邵县,0.025527848459245,0.02552784845924506,2,1,-6.245004513516506e-17,-2.446349728018242e-13
河曲县,0.040489033238307,0.04048903323830709,0,0,-9.020562075079397e-17,-2.2279025586970424e-13
保德县,0.0389863326575212,0.03898633265752126,0,0,-5.551115123125783e-17,-1.4238618368878202e-13
偏关县,0.0416445402740848,0.04164454027408486,0,0,-6.245004513516506e-17,-1.4995974195932556e-13
玉树市,0.0139114681593996,0.013911468159399688,2,1,-8.847089727481716e-17,-6.359565810100297e-13
临夏市,0.0296771169787849,0.02967711697878491,2,1,-1.0408340855860843e-17,-3.5071940658189227e-14
色尼区,0.0163275391028592,0.016327539102859234,2,1,-3.469446951953614e-17,-2.1249050025830618e-13
繁峙县,0.0377001787546805,0.03770017875468051,2,1,-1.3877787807814457e-17,-3.681093370437008e-14
宁武县,0.0411902354109281,0.041190235410928186,0,0,-8.326672684688674e-17,-2.0215161679992544e-13
静乐县,0.041063339055794,0.041063339055794006,0,0,-6.938893903907228e-18,-1.6898026471931917e-14
神池县,0.0425954857987056,0.042595485798705625,0,0,-2.7755575615628914e-17,-6.516083827942242e-14
